substance,interactant,niveau,description,conduite
CYPROTERONE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,PE,Risque de diminution de l'efficacité de la cyprotérone.,"ASDEC - PE Association déconseillée - dans son utilisation comme contraceptif hormonal: utiliser de préférence une autre méthode de contraception en particulier de type mécanique, pendant la durée de l'association et un cycle suivant. - dans ses indications comme anti-androgène: surveillance clinique et adaptation éventuelle de la posologie de la cyprotérone pendant l'association et après son arrêt."
CYPROTERONE,MILLEPERTUIS,CI,"Risque de diminution de l'efficacité de la cyprotérone, par augmentation de son métabolisme hépatique par le millepertuis.",
CYPROTERONE,PÉRAMPANEL,AD,"Pour des doses de pérampanel > ou = à 12 mg/jour, risque de diminution de l'efficacité de la cyprotérone.","Dans son utilisation comme contraceptif hormonal: utiliser de préférence une autre méthode de contraception en particulier de type mécanique, pendant la durée de l'association et un cycle suivant."
CYTOTOXIQUES,ANTIVITAMINES K,PE,"Augmentation du risque thrombotique et hémorragique au cours des affections tumorales. De surcroit, possible interaction entre les AVK et la chimiothérapie.",Contrôle plus fréquent de l'INR.
CYTOTOXIQUES,FLUCYTOSINE,APEC,Risque de majoration de la toxicité hématologique,
CYTOTOXIQUES,IMMUNOSUPPRESSEURS,APEC,Immunodépression excessive avec risque de syndrome lympho- prolifératif.,
CYTOTOXIQUES,OLAPARIB,AD,Risque de majoration de l'effet myélosuppresseur du cytotoxique,
CYTOTOXIQUES,"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",AD,"Risque de survenue de convulsions par diminution de l'absorption digestive de la seule phénytoïne par le cytotoxique, ou bien risque de majoration de la toxicité ou de perte d'efficacité du cytotoxique par augmentation de son métabolisme hépatique par la phénytoïne ou la fosphénytoïne.",
CYTOTOXIQUES,VACCINS VIVANTS ATTÉNUÉS,CI,Risque de maladie vaccinale généralisée éventuellement mortelle.,"- Et pendant les 6 mois suivant l'arrêt de la chimiothérapie. - Et, à l'exception de l'hydroxycarbamide dans son indication chez le patient drépanocytaire."
DABIGATRAN,AMIODARONE,PE,"Augmentation des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.","Dans l'indication post-chirurgicale : surveillance clinique et adaptation de la posologie du dabigatran si nécessaire, sans excéder 150 mg/j."
DABIGATRAN,CICLOSPORINE,CI,"Augmentation de plus du double des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.",
DABIGATRAN,DRONEDARONE,CI,"Doublement des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.",
DABIGATRAN,GLÉCAPRÉVIR + PIBRENTASVIR,CI,"Doublement des concentrations plasmatiques de dabigatran, avec majoration du risque de saignements.",
DABIGATRAN,INDUCTEURS ENZYMATIQUES PUISSANTS,AD,"Diminution des concentrations plasmatiques de dabigatran, avec risque de diminution de l'effet thérapeutique.",
DABIGATRAN,ITRACONAZOLE,CI,"Augmentation de plus du double des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.",
DABIGATRAN,KETOCONAZOLE,CI,"Augmentation de plus du double des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.",
DABIGATRAN,PONATINIB,PE,Risque d'augmentation des concentrations plasmatiques du dabigatran par augmentation de son absorption intestinale par le ponatinib.,Surveillance clinique et biologique étroite pendant l'association.
DABIGATRAN,QUINIDINE,PE,"Augmentation des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.",Dans l'indication post-chirurgicale : surveillance clinique et adaptation de la posologie du dabigatran à 150 mg/j en une prise.
DABIGATRAN,RIFAMPICINE,AD,"Diminution des concentrations plasmatiques de dabigatran, avec risque de diminution de l'effet thérapeutique.",
DABIGATRAN,ROLAPITANT,PE,Risque d'augmentation des concentrations plasmatiques du dabigatran par augmentation de son absorption intestinale par le rolapitant.,Surveillance clinique et biologique étroite pendant l'association.
DABIGATRAN,TACROLIMUS,AD,Risque d'augmentation des concentrations plasmatiques de dabigatran.,
DABIGATRAN,TICAGRELOR,APEC,"Augmentation des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.",
DABIGATRAN,VERAPAMIL,PE,"Augmentation des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.","Dans l'indication post-chirurgicale : surveillance clinique et adaptation de la posologie du dabigatran à 150 mg/j en une prise, voire 75 mg/j en cas d'insuffisance rénale modérée. Dans l'indication fibrillation auriculaire : surveillance clinique et adaptation de la posologie du dabigatran à 220 mg/j en deux prises."
DACARBAZINE,FOTEMUSTINE,PE,Avec la dacarbazine à doses élevées : risque de toxicité pulmonaire (syndrome de détresse respiratoire aiguë de l'adulte).,Ne pas utiliser simultanément mais respecter un délai d'une semaine entre la dernière administration de fotémustine et le premier jour de la cure de dacarbazine.
DALFOPRISTINE,DIHYDROERGOTAMINE,CI,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).,
DALFOPRISTINE,ERGOTAMINE,CI,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).,
DALFOPRISTINE,IMMUNOSUPPRESSEURS,PE,Augmentation des concentrations sanguines de l'immunosuppresseur par inhibition de son métabolisme hépatique.,"Dosage des concentrations sanguines de l'immunosuppresseur, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après son arrêt."
DALFOPRISTINE,PIMOZIDE,AD,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",
DANAZOL,ANTIVITAMINES K,PE,Augmentation du risque hémorragique par effet direct sur la coagulation et/ou les systèmes fibrinolytiques.,Contrôle plus fréquent de l'INR. Adaptation de la posologie de l'antivitamine K pendant le traitement par le danazol et après son arrêt.
DANAZOL,CARBAMAZEPINE,PE,"Augmentation des concentrations plasmatiques de carbamazépine, avec signes de surdosage.",Surveillance clinique et réduction éventuelle de la posologie de la carbamazépine.
DANAZOL,CICLOSPORINE,PE,Augmentation des concentrations sanguines de ciclosporine par inhibition de son métabolisme hépatique.,"Dosage des concentrations sanguines de ciclosporine, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après son arrêt."
DANAZOL,INSULINE,AD,Effet diabétogène du danazol.,"Si l'association ne peut être évitée, prévenir le patient et renforcer l'autosurveillance glycémique. Adapter éventuellement la posologie de l'insuline pendant le traitement par le danazol et après son arrêt."
DANAZOL,SIMVASTATINE,CI,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par diminution du métabolisme de la simvastatine.,
DANAZOL,SULFAMIDES HYPOGLYCÉMIANTS,AD,Effet diabétogène du danazol.,"Si l'association ne peut être évitée, prévenir le patient et renforcer l'autosurveillance glycémique. Adapter éventuellement la posologie de l'antidiabétique pendant le traitement par le danazol et après son arrêt."
DANAZOL,TACROLIMUS,PE,Augmentation des concentrations sanguines du tacrolimus par inhibition de son métabolisme hépatique.,"Dosage des concentrations sanguines du tacrolimus et adaptation de sa posologie pendant l'association et après son arrêt, avec contrôle de la fonction rénale."
DANTROLENE,DIHYDROPYRIDINES,AD,"Avec le dantrolène administré par perfusion : chez l'animal des cas de fibrillations ventriculaires mortelles sont constamment observés lors de l'administration de vérapamil et de dantrolène IV. L'association d'un antagoniste du calcium et de dantrolène est donc potentiellement dangereuse. Cependant, quelques patients ont reçu l'association nifédipine et dantrolène sans inconvénient.",
DANTROLENE,DILTIAZEM,CI,"Avec le dantrolène administré par perfusion : chez l'animal, des cas de fibrillations ventriculaires mortelles sont constamment observés lors de l'administration de vérapamil et de dantrolène par voie IV. L'association d'un antagoniste du calcium et de dantrolène est donc potentiellement dangereuse. Cependant, quelques patients ont reçu l'association nifédipine et dantrolène sans inconvénient.",
DANTROLENE,VERAPAMIL,CI,"Avec le dantrolène administré par perfusion : chez l'animal, des cas de fibrillations ventriculaires mortelles sont constamment observés lors de l'administration de vérapamil et de dantrolène par voie IV. L'association d'un antagoniste du calcium et de dantrolène est donc potentiellement dangereuse. Cependant, quelques patients ont reçu l'association nifédipine et dantrolène sans inconvénient.",
DAPOXÉTINE,INHIBITEURS PUISSANTS DU CYP3A4,CI,"Risque de majoration des effets indésirables, notamment à type de vertiges ou de syncopes.",
DAPOXÉTINE,MÉDICAMENTS À L'ORIGINE D'UNE HYPOTENSION ORTHOSTATIQUE,APEC,"Risque de majoration des effets indésirables, notamment à type de vertiges ou de syncopes.",ASDEC - APEC Association déconseillée - avec les inhibiteurs de la phosphodiestérase de type 5 - avec les autres classes thérapeutiques
DAPSONE,ZIDOVUDINE,PE,Augmentation de la toxicité hématologique (addition d'effets de toxicité médullaire).,Contrôle plus fréquent de l'hémogramme.
DAPTOMYCINE,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),AD,Risque d'addition des effets indésirables (dose-dépendant) à type de rhabdomyolyse.,"Si l'association ne peut être évitée, renforcer la surveillance biologique (dosage des CPK plus d'une fois par semaine) et surveillance clinique étroite."
DARIFENACINE,METOPROLOL,PE,"Augmentation des concentrations plasmatiques du métoprolol, avec risque de surdosage, par diminution de son métabolisme hépatique par la darifénacine.",Surveillance clinique et réduction de la posologie du métoprolol pendant le traitement par darifénacine.
DARIFENACINE,PROPAFENONE,PE,"Augmentation des concentrations plasmatiques de propafénone, avec risque de surdosage, par diminution de son métabolisme hépatique par la darifénacine.",Surveillance clinique et réduction de la posologie de la propafénone pendant le traitement par darifénacine.
DAROLUTAMIDE,INDUCTEURS ENZYMATIQUES PUISSANTS,AD,Diminution des concentrations plasmatiques de dalorutamide avec risque de perte d'efficacité.,
DAROLUTAMIDE,RIFAMPICINE,AD,Diminution des concentrations plasmatiques de dalorutamide avec risque de perte d'efficacité.,
DAROLUTAMIDE,ROSUVASTATINE,AD,"Augmentation considérable (d'un facteur 5) des concentrations de rosuvastatine avec risque de rhabdomyolyse et/ou de néphrotoxicité, par augmentation de sa biodisponibilité.",
DARUNAVIR,ETRAVIRINE,AD,Risque de diminution des concentrations plasmatiques du darunavir par l'étravirine.,
DASABUVIR,ETHINYLESTRADIOL,CI,Augmentation de l'hépatotoxicité.,
DASABUVIR,GEMFIBROZIL,CI,Risque d'augmentation des concentrations plasmatiques du dasabuvir par le gemfibrozil.,
DASABUVIR,INDUCTEURS ENZYMATIQUES,CI,Risque de diminution des concentrations plasmatiques du dasabuvir par l'inducteur.,
DASABUVIR,MILLEPERTUIS,CI,Risque de diminution des concentrations plasmatiques du dasabuvir par le millepertuis.,
DASABUVIR,MITOTANE,CI,Risque de diminution des concentrations plasmatiques du dasabuvir par le mitotane.,
DEFERASIROX,ACIDE ACETYLSALICYLIQUE,APEC,Majoration du risque ulcérogène et hémorragique digestif.,A prendre en compte : - Pour des doses anti-inflammatoires d'acide acétylsalicylique ( 1g par prise et/ou 3g par jour) - Pour des doses antalgiques ou antipyrétiques d'acide acétylsalicylique ( 500 mg par prise et/ou <3g par jour) et ( 500 mg par prise et/ou <3g par jour)
DEFERASIROX,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,APEC,Majoration du risque ulcérogène et hémorragique digestif.,
DEFERASIROX,ANTIVITAMINES K,APEC,Majoration du risque ulcérogène et hémorragique digestif.,
DEFERASIROX,BUSULFAN,APEC,Risque d'augmentation de la toxicité du busulfan par diminution de sa clairance par le déférasirox.,
DEFERASIROX,DÉFÉRIPRONE,CI,Risque d'hyperchélation.,
DEFERASIROX,DÉFÉROXAMINE,CI,Risque d'hyperchélation.,
DEFERASIROX,INDUCTEURS ENZYMATIQUES PUISSANTS,PE,Risque de diminution des concentrations plasmatiques de déférasirox.,"Surveiller la ferritinémie pendant et après le traitement par l'inducteur enzymatique. Si besoin, adaptation de la posologie de déférasirox."
DEFERASIROX,PACLITAXEL,PE,Risque d'augmentation des concentrations plasmatiques du paclitaxel par inhibition de son métabolisme hépatique par le deferasirox.,Surveillance clinique et biologique étroite.
DEFERASIROX,REPAGLINIDE,AD,"Risque d'augmentation des concentrations plasmatique de répaglinide, par inhibition de son métabolisme hépatique par le deferasirox.","Si l'association ne peut être évitée, surveillance clinique et biologique étroite."
DEFERASIROX,RIFAMPICINE,PE,Risque de diminution des concentrations plasmatiques de déférasirox.,"Surveiller la ferritinémie pendant et après le traitement par l'inducteur enzymatique. Si besoin, adaptation de la posologie de déférasirox."
DEFERASIROX,SELEXIPAG,PE,Risque d'augmentation des effets indésirables du sélexipag par diminution de son métabolisme.,Surveillance clinique étroite pendant l'association. Réduire de moitié la posologie (une seule prise par jour).
DÉFÉRIPRONE,ACIDE ASCORBIQUE,PE,"Par extrapolation à partir de l'interaction avec la déféroxamine : avec l'acide ascorbique à fortes doses et par voie IV, risque d'anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en général réversible à l'arrêt de la vitamine C).",
DÉFÉRIPRONE,DEFERASIROX,CI,Risque d'hyperchélation.,
DÉFÉROXAMINE,ACIDE ASCORBIQUE,PE,"Avec l'acide ascorbique à fortes doses et par voie IV : anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en général réversible à l'arrêt de la vitamine C).","En cas d'hémochromatose, ne donner de la vitamine C qu'après avoir commencé le traitement par la déféroxamine. Surveiller la fonction cardiaque en cas d'association."
DÉFÉROXAMINE,DEFERASIROX,CI,Risque d'hyperchélation.,
DÉFIBROTIDE,ANTIAGRÉGANTS PLAQUETTAIRES,AD,Risque hémorragique accru.,
DÉFIBROTIDE,ANTICOAGULANTS ORAUX,AD,Risque hémorragique accru.,
DÉFIBROTIDE,COBIMÉTINIB,PE,Augmentation du risque hémorragique.,Surveillance clinique.
DÉFIBROTIDE,HÉPARINES,AD,Risque hémorragique accru.,
DÉFIBROTIDE,THROMBOLYTIQUES,CI,Risque hémorragique accru.,
DÉLAMANID,INDUCTEURS ENZYMATIQUES PUISSANTS,CI,Diminution des concentrations plasmatiques de delamanid par augmentation de son métabolisme hépatique par l'inducteur.,
DÉLAMANID,INHIBITEURS PUISSANTS DU CYP3A4,AD,"Risque majoré de troubles du rythme ventriculaires, notamment de torsades de pointes.","Si l'association ne peut être évitée, contrôle clinique et électrocardiographique régulier."
DÉLAMANID,RIFAMPICINE,CI,Diminution des concentrations plasmatiques de delamanid par augmentation de son métabolisme hépatique par l'inducteur.,
DÉRIVÉS DE L'ACIDE AMINOSALICYLIQUE (ASA),ANTIPURINES,APEC,"Risque de majoration de l'effet myélosuppresseur de l'immunomodulateur par inhibition de son métabolisme hépatique par le dérivé de l'ASA, notamment chez les sujets présentant un déficit partiel en thiopurine méthyltransférase (TPMT).",
DÉRIVÉS NITRÉS ET APPARENTÉS,INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,CI,Risque d'hypotension importante (effet synergique) pouvant aggraver l'état d'ischémie myocardique et provoquer notamment un accident coronarien aigu.,
DÉRIVÉS NITRÉS ET APPARENTÉS,RIOCIGUAT,CI,Risque d'hypotension importante (effet synergique).,
DESIPRAMINE,BUPROPION,PE,Risque d'augmentation des effets indésirables de la désipramine par diminution de son métabolisme hépatique par le bupropion.,"Surveillance clinique. Si besoin, adaptation de la posologie de la désipramine pendant le traitement par le bupropion."
DEXAMETHASONE,PRAZIQUANTEL,PE,"Diminution des concentrations plasmatiques du praziquantel, avec risque d'échec du traitement, par augmentation du métabolisme hépatique du praziquantel par la dexaméthasone.",Décaler l'administration des deux médicaments d'au moins une semaine.
DEXAMETHASONE,RILPIVIRINE,CI,"Avec la dexaméthasone par voie systémique (sauf en cas de prise unique), risque de diminution des concentrations plasmatiques de rilpivirine par augmentation de son métabolisme hépatique par la dexamethasone.",
DEXTRAN,HÉPARINES (DOSES CURATIVES ET/OU SUJET ÂGÉ),AD,Augmentation du risque hémorragique (inhibition de la fonction plaquettaire par le dextran 40).,
DEXTROMETHORPHANE,CINACALCET,CI,"Augmentation très importante des concentrations plasmatiques de dextrométhorphane avec risque de surdosage, par diminution de son métabolisme hépatique par le cinacalcet.",
DEXTROMETHORPHANE,IMAO IRRÉVERSIBLES,CI,"Risque d'apparition d'un syndrome sérotoninergique : diarrhée, tachycardie, sueurs, tremblements, confusion voire coma.",
DEXTROMETHORPHANE,"IMAO-A RÉVERSIBLES, Y COMPRIS OXAZOLIDINONES ET BLEU DE MÉTHYLÈNE",AD,"Risque d'apparition d'un syndrome sérotoninergique : diarrhée, tachycardie, sueurs, tremblements, confusion voire coma.",
DIAZEPAM,BUSPIRONE,APEC,Risque de majoration des effets indésirables de la buspirone.,
DIAZEPAM,CIMETIDINE,PE,Avec la cimétidine utilisée à des doses supérieures ou égales à 800 mg/j : risque accru de somnolence.,Avertir les patients de l'augmentation du risque en cas de conduite automobile ou d'utilisation de machines.
DIAZEPAM,"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",PE,"Variations imprévisibles : les concentrations plasmatiques de phénytoïne peuvent augmenter, avec signes de surdosage, mais aussi diminuer ou rester stables.",Surveillance clinique et contrôle des concentrations plasmatiques de phénytoïne.
DIAZEPAM,STIRIPENTOL,PE,"Augmentation des concentrations plasmatiques du diazépam, avec risque de surdosage, par inhibition de son métabolisme hépatique.","Surveillance clinique et dosage plasmatique, lorsque cela est possible, de l'anticonvulsivant associé au stiripentol et éventuelle adaptation posologique de l'anticonvulsivant associé."
DIDANOSINE,ALLOPURINOL,AD,Augmentation des concentrations plasmatiques de didanosine et de ses effets indésirables.,
DIDANOSINE,GANCICLOVIR,AD,"Risque d'augmentation des effets indésirables de la didanosine, et notamment la toxicité mitochondriale, par augmentation importante de ses concentrations. De plus risque de diminution de l'efficacité du ganciclovir par diminution de ses concentrations, si les deux médicaments sont ingérés à moins de 2 heures d'intervalle.",
DIDANOSINE,PENTAMIDINE,PE,Risque majoré de survenue de pancréatite par addition d'effets indésirables.,Surveillance de l'amylasémie. Ne pas associer si l'amylasémie est à la limite supérieure de la normale.
DIDANOSINE,RIBAVIRINE,AD,Risque de majoration de la toxicité mitochondriale de la didanosine par augmentation de son métabolite actif.,
DIDANOSINE,TENOFOVIR DISOPROXIL,AD,"Risque d'échec du traitement antirétroviral, voire émergence de résistances. De plus, majoration du risque de la toxicité mitochondriale de la didanosine.",
DIDANOSINE,THALIDOMIDE,PE,Risque majoré de survenue de neuropathies périphériques par addition d'effets indésirables.,"Surveillance clinique et biologique régulière, notamment en début d'association."
DIGOXINE,AMIODARONE,PE,"Dépression de l'automatisme (bradycardie excessive) et troubles de la conduction auriculo-ventriculaire. De plus, augmentation de la digoxinémie par diminution de la clairance de la digoxine.","Surveillance clinique, ECG et, s'il y a lieu, contrôle de la digoxinémie et adaptation de la posologie de la digoxine."
DIGOXINE,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,APEC,"Troubles de l'automatisme (bradycardie, arrêt sinusal) et troubles de la conduction sino-auriculaire et auriculo-ventriculaire.",
DIGOXINE,CALCIUM,PE,"Risque de troubles du rythme graves, voire mortels avec les sels de calcium administrés par voie IV.","CI - PE Contre-indication : - avec les sels de calcium IV, hormis supplémentation parentérale. : - avec les sels de calcium par voie orale. Surveillance clinique et, s'il y a lieu, contrôle de l'ECG et de la calcémie."
DIGOXINE,CARBAMAZEPINE,PE,Augmentation des concentrations plasmatiques de carbamazépine et diminution de la digoxinémie.,Prudence dans l'interprétation des concentrations plasmatiques.
DIGOXINE,DRONEDARONE,AD,"Dépression de l'automatisme (bradycardie excessive) et troubles de la conduction auriculo-ventriculaire. En outre, augmentation de la digoxinémie par diminution du métabolisme de la digoxine. Surveillance clinique et ECG.",Réduire de moitié les doses de digoxine.
DIGOXINE,GLÉCAPRÉVIR + PIBRENTASVIR,PE,Augmentation des concentrations plasmatiques de la digoxine par la bithérapie.,Surveillance clinique et éventuellement de la digoxinémie pendant le traitement par glécaprévir/ pibrentasvir.
DIGOXINE,HYDROQUINIDINE,PE,"Augmentation de la digoxinémie par diminution de la clairance rénale de la digoxine. De plus, troubles de l'automatisme (bradycardie excessive et troubles de la conduction auriculo- ventriculaire).","Surveillance clinique et ECG. En cas de réponse inattendue, contrôler la digoxinémie et adapter la posologie."
DIGOXINE,HYPOKALIÉMIANTS,PE,Hypokaliémie favorisant les effets toxiques des digitaliques.,"Corriger auparavant toute hypokaliémie et réaliser une surveillance clinique, électrolytique et électrocardiographique."
DIGOXINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,PE,"Augmentation de la digoxinémie, plus marquée pour la voie intraveineuse, par augmentation de l'absorption de la digoxine ou diminution de sa clairance rénale.","Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinémie, avec adaptation éventuelle de la posologie de digoxine."
DIGOXINE,ITRACONAZOLE,PE,"Augmentation de la digoxinémie avec nausées, vomissements, troubles du rythme.","Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinémie avec adaptation de la posologie de la digoxine pendant le traitement par l'itraconazole et après son arrêt."
DIGOXINE,MACROLIDES (SAUF SPIRAMYCINE),PE,Augmentation de la digoxinémie par augmentation de son absorption.,Surveillance clinique et éventuellement de la digoxinémie pendant le traitement par le macrolide et après son arrêt.
DIGOXINE,MIDODRINE,AD,Troubles de l'automatisme (majoration de l'effet bradycardisant de la midodrine) et troubles de la conduction auriculo-ventriculaire.,"Si cette association ne peut être évitée, renforcer la surveillance clinique et ECG."
DIGOXINE,MILLEPERTUIS,CI,"Diminution de la digoxinémie, en raison de l'effet inducteur du millepertuis, avec risque de baisse d'efficacité voire d'annulation de l'effet, dont les conséquences peuvent être éventuellement graves (décompensation d'une insuffisance cardiaque).","En cas d'association fortuite, ne pas interrompre brutalement la prise de millepertuis mais contrôler les concentrations plasmatiques (ou l'efficacité) de la digoxine avant puis après l'arrêt du millepertuis."
DIGOXINE,OMEPRAZOLE,PE,Augmentation modérée de la digoxinémie par majoration de son absorption par l'oméprazole.,"Surveillance clinique, ECG et de la digoxinémie, particulièrement chez le sujet âgé."
DIGOXINE,PONATINIB,PE,Risque d'augmentation des concentrations plasmatiques de la digoxine par augmentation de son absorption intestinale par le ponatinib.,Surveillance clinique et biologique étroite pendant l'association.
DIGOXINE,POSACONAZOLE,PE,"Augmentation de la digoxinémie avec nausées, vomissements, troubles du rythme.","Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinémie, avec adaptation de la posologie de la digoxine pendant le traitement par le posaconazole et après son arrêt."
DIGOXINE,PROPAFENONE,PE,"Risque d'augmentation de la digoxinémie, notamment chez le sujet âgé.",Surveillance clinique et éventuellement de la digoxinémie pendant le traitement par propafénone et après son arrêt.
DIGOXINE,QUINIDINE,PE,"Augmentation de la digoxinémie par diminution de la clairance rénale de la digoxine. De plus, troubles de l'automatisme (bradycardie excessive et troubles de la conduction auriculo- ventriculaire).","Surveillance clinique et ECG. En cas de réponse inattendue, contrôler la digoxinémie et adapter la posologie."
DIGOXINE,QUININE,PE,Augmentation modérée de la digoxinémie.,"Surveillance clinique et ECG, si besoin, avec adaptation éventuelle des doses de digoxine."
DIGOXINE,RANOLAZINE,PE,Augmentation de la digoxinémie.,"Surveillance clinique, biologique et éventuellement ECG. Adaptation de la posologie de la digoxine, si besoin."
DIGOXINE,RIFAMPICINE,PE,Diminution modeste des concentrations de digoxine.,Surveillance clinique et ECG.
DIGOXINE,ROLAPITANT,PE,Augmentation de la digoxinémie par majoration de son absorption.,Surveillance clinique et ECG pendant le traitement par le rolapitant et après son arrêt.
DIGOXINE,SUCRALFATE,PE,Diminution de l'absorption digestive de la digoxine.,"Prendre le sucralfate à distance de la digoxine (plus de 2 heures, si possible)."
DIGOXINE,SULFASALAZINE,PE,Diminution de la digoxinémie pouvant atteindre 50 %.,"Surveillance clinique, ECG et, éventuellement, de la digoxinémie. S'il y a lieu, adaptation de la posologie de la digoxine pendant le traitement par la sulfasalazine et après son arrêt."
DIGOXINE,TELITHROMYCINE,PE,Augmentation de la digoxinémie par augmentation de son absorption.,Surveillance clinique et éventuellement de la digoxinémie pendant le traitement par la télithromycine et après son arrêt.
DIGOXINE,VERAPAMIL,PE,Bradycardie excessive et bloc auriculo-ventriculaire par majoration des effets de la digoxine sur l'automatisme et la conduction et par diminution de l'élimination rénale et extrarénale de la digoxine.,"Surveillance clinique, ECG et, éventuellement, contrôle de la digoxinémie. S'il y a lieu, adaptation de la posologie de la digoxine pendant le traitement par le vérapamil et après son arrêt."
DIHYDROERGOTAMINE,DALFOPRISTINE,CI,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).,
DIHYDROERGOTAMINE,DILTIAZEM,CI,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).,
DIHYDROERGOTAMINE,EFAVIRENZ,CI,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).,
DIHYDROERGOTAMINE,MACROLIDES (SAUF SPIRAMYCINE),CI,Ergotisme avec possibilité de nécrose des extrémités (inhibition de l'élimination hépatique de l'alcaloïde de l'ergot de seigle).,
DIHYDROERGOTAMINE,QUINUPRISTINE,CI,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).,
DIHYDROERGOTAMINE,STIRIPENTOL,CI,Ergotisme avec possibilité de nécrose des extrémités (inhibition de l'élimination hépatique de l'alcaloïde de l'ergot de seigle).,
DIHYDROERGOTAMINE,TRICLABENDAZOLE,CI,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).,"Respecter un délai de 24 heures entre l'arrêt du triclabendazole et la prise du médicament dérivé de l'ergot, et inversement."
DIHYDROPYRIDINES,BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),APEC,"Hypotension, défaillance cardiaque chez les patients en insuffisance cardiaque latente ou non contrôlée (addition des effets inotropes négatifs). Le bêta-bloquant peut par ailleurs minimiser la réaction sympathique réflexe mise en jeu en cas de répercussion hémodynamique excessive.",
DIHYDROPYRIDINES,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,APEC,"Hypotension, défaillance cardiaque chez les malades en insuffisance cardiaque latente ou non contrôlée (effet inotrope négatif in vitro des dihydropyridines plus ou moins marqué et susceptibles de s'additionner aux effets inotropes négatifs des bêta- bloquants). La présence d'un traitement bêta-bloquant peut par ailleurs minimiser la réaction sympathique réflexe mise en jeu en cas de répercussion hémodynamique excessive.",
DIHYDROPYRIDINES,DANTROLENE,AD,"Avec le dantrolène administré par perfusion : chez l'animal des cas de fibrillations ventriculaires mortelles sont constamment observés lors de l'administration de vérapamil et de dantrolène IV. L'association d'un antagoniste du calcium et de dantrolène est donc potentiellement dangereuse. Cependant, quelques patients ont reçu l'association nifédipine et dantrolène sans inconvénient.",
DILTIAZEM,ALFENTANIL,PE,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.,Adapter la posologie de l'alfentanil en cas de traitement par le diltiazem.
DILTIAZEM,AMIODARONE,PE,"Pour diltiazem voie injectable : risque de bradycardie et de bloc auriculo-ventriculaire Pour diltiazem per os : risque de bradycardie ou de bloc auriculo- ventriculaire, notamment chez les personnes âgées.","ASDEC - PE Association déconseillée avec : - le diltiazem IV Si l'association ne peut être évitée, surveillance clinique et ECG continu. avec : - le diltiazem per os Surveillance clinique et ECG."
DILTIAZEM,ANTIHYPERTENSEURS CENTRAUX,APEC,Troubles de l'automatisme (troubles de la conduction auriculo- ventriculaire par addition des effets négatifs sur la conduction).,
DILTIAZEM,ATORVASTATINE,PE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.",Utiliser des doses plus faibles d'hypocholestérolémiant ou une autre statine non concernée par ce type d'interaction.
